place,title,time,pay,date
서울 서초구, 투썸플레이스(주) 방배역점,18:00~00:30,"시급9,160",4분전
서울 서초구, 투썸플레이스(주) 방배역점,시간협의,"시급9,160",4분전
경기 평택시, 투썸플레이스평택세교점,09:00~14:00,"시급8,720",10분전
서울 도봉구, 투썸플레이스(주),시간협의,"시급10,584",13분전
대구 동구, (주)함께여는세상,08:00~23:30,"월급2,100,000",14분전
인천 미추홀, 투섬플레이스 주안점,10:00~16:00,"시급9,160",17분전
대구 수성구, (주)함께여는세상,08:00~23:30,"월급2,100,000",17분전
전북 군산시, 투썸플레이스군산은파점,10:00~14:00,"시급8,720",18분전
경남 양산시, 투썸플레이스 양산증산점,18:00~23:00,"시급9,160",31분전
경기 수원시, 투썸플레이스 수원 천천점,19:00~23:00,"시급9,160",36분전
경기 성남시, 투썸플레이스 분당구미점,13:30~22:30,"시급11,000",40분전
서울 양천구, 투썸플레이스 양천신목로점,시간협의,"시급9,160",45분전
충남 홍성군, 주식회사 대길,12:00~21:00,"연봉21,960,000",48분전
서울 금천구, 투썸플레이스,08:30~16:00,"시급8,720",51분전
울산 남구, 투썸울주군청율리점,13:00~16:00,"시급8,720",52분전
경기 평택시, 투썸플레이스 평택용죽점,16:30~23:30,"시급9,160",55분전
대구 동구, 투썸플레이스 대구팔공순환로점,14:00~23:00,"시급10,000",55분전
서울 영등포, 투썸플레이스 대림역점,17:30~21:30,"시급9,160",57분전
서울 성동구, 투썸플레이스(주),07:00~12:30,"시급8,820",1시간전
대전 유성구, 투썸플레이스대전전민점,시간협의,"시급9,200",1시간전
강원 강릉시, 투썸플레이스 강릉포남점,18:00~23:00,"시급9,000",1시간전
서울 강남구, 투썸플레이스(주),08:00~13:00,"시급8,820",1시간전
서울 강남구, 투썸플레이스(주),07:00~13:30,"시급10,584",1시간전
충북 청주시, 투썸플레이스 청주방서메디컬타워점,시간협의,"월급2,050,000",1시간전
충북 청주시, 투썸플레이스 청주성화점,17:00~24:00,"시급9,160",1시간전
부산 남구, 투썸플레이스 부산문현점,시간협의,"시급8,720",1시간전
서울 영등포, 투썸플레이스 대림역점,14:30~22:30,"시급9,160",1시간전
대전 동구, 투썸플레이스(주),시간협의,"시급9,160",1시간전
경기 용인시, 투썸플레이스 경희대국제캠퍼스점,07:30~16:30,"시급9,160",1시간전
경기 용인시, 투썸플레이스 경희대국제캠퍼스점,12:00~16:30,"시급9,160",1시간전
서울 강남구, 투썸플레이스 신사세로수길점,11:00~23:00,"시급9,400",1시간전
경기 용인시, 투썸플레이스 경희대국제캠퍼스점,07:30~16:30,"월급2,000,000",1시간전
서울 마포구, 투썸플레이스(주),07:00~13:30,"시급8,820",1시간전
경기 의정부, 투썸플레이스 의정부송산역점,시간협의,"월급1,950,000",1시간전
부산 기장군, 투썸플레이스 신세계프리미엄아울렛점,14:00~21:00,"시급8,750",1시간전
서울 송파구, 투썸플레이스 석촌호수점,시간협의,"시급9,160",2시간전
전남 여수시, 투썸플레이스 여수 학동점,18:00~22:30,"시급8,720",2시간전
부산 동래구, 투썸플레이스 부산안락점,09:30~18:30,"월급1,822,480",2시간전
경기 성남시, 투썸플레이스(주),09:00~15:30,"시급10,584",2시간전
경기 성남시, 투썸플레이스(주),12:00~18:30,"시급10,584",2시간전
경기 용인시, 투썸플레이스 수지외식타운점,시간협의,"월급2,000,000",2시간전
경기 성남시, 투썸플레이스(주),12:00~18:30,"시급10,584",2시간전
경기 성남시, 투썸플레이스(주),10:00~16:30,"시급10,584",2시간전
부산 남구, 투썸플레이스 부산문현점,시간협의,"시급8,720",2시간전
경기 성남시, 투썸플레이스(주),12:00~18:30,"시급10,584",2시간전
경기 양평군, 투썸플레이스 양평오빈점,08:00~02:00,"시급8,720",2시간전
부산 사하구, 투썸플레이스 동아대점,18:00~22:00,"시급8,720",2시간전
부산 사하구, 투썸플레이스 동아대점,18:00~22:00,"시급8,720",2시간전
경기 성남시, 투썸플레이스(주),16:30~23:00,"시급10,584",2시간전
대구 북구, 투썸플레이스 대구팔공순환로점,14:00~23:00,"월급2,350,000",2시간전
