place,title,time,pay,date
서울 중구, 파리바게뜨 충정로역점,18:00~22:00,"시급9,160",9분전
인천 부평구, 파리바게뜨 부개점,13:00~18:00,"시급8,720",14분전
서울 은평구, 파리바게뜨 역촌2호점,19:00~23:00,"시급9,160",19분전
경기 시흥시, 파리바게뜨 장현모아점,07:00~11:00,"시급8,720",22분전
대구 달서구, 파리바게뜨 대구월배점,12:00~17:00,"시급9,160",22분전
서울 영등포, 파리바게뜨 대림성모점,13:00~18:00,"시급9,160",27분전
서울 영등포, 파리바게뜨 대림성모점,13:00~18:00,"시급9,160",28분전
서울 영등포, 파리바게뜨 대림성모점,13:00~18:00,"시급9,160",29분전
서울 전체, 파리바게뜨 염창점,시간협의,"시급9,160",29분전
경기 남양주, 파리바게뜨 금곡중앙점,시간협의,"시급9,160",32분전
경기 평택시, 파리바게뜨 평택원평점,시간협의,"시급8,720",36분전
경기 평택시, 파리바게뜨 평택송화점,07:00~13:00,"시급8,720",39분전
경기 하남시, 파리바게뜨 하남천현점,08:00~13:00,"시급9,160",39분전
강원 원주시, 파리바게뜨 원주기업이지더원점,13:00~18:00,"시급9,160",41분전
세종 새롬동, 파리바게뜨 세종새롬점,시간협의,"시급9,200",42분전
경기 오산시, 파리바게뜨 오산휴먼시아점,08:00~12:00,"시급9,160",46분전
부산 동구, 파리바게뜨 부산수정점,18:00~23:00,"시급9,160",47분전
경기 성남시, 파리바게뜨 분당서현,17:00~21:30,"시급8,720",48분전
서울 성북구, 파리바게뜨 정릉서경점,12:00~17:00,"시급11,190",48분전
대구 북구, 파리바게뜨 대구산격점,07:00~13:00,"시급9,160",51분전
인천 부평구, 파리바게뜨 부개점,07:00~13:00,"시급9,000",58분전
강원 동해시, 파리바게뜨 동해이도동점,15:00~22:30,"시급8,720",1시간전
경기 평택시, 파리바게뜨 평택중앙점,시간협의,"시급9,240",1시간전
서울 전체, 파리바게뜨 염창점,시간협의,"시급9,160",1시간전
경기 양주시, 파리바게뜨 옥정역점,08:00~16:00,"시급9,000",1시간전
세종 나성동, 파리바게뜨 세종나성점,시간협의,"시급9,160",1시간전
인천 서구, 파리바게뜨 청라수변공원점,07:00~13:00,"시급8,720",1시간전
세종 나성동, 파리바게뜨 세종나성점,시간협의,"시급9,160",1시간전
서울 은평구, 파리바게뜨 역촌2호점,19:00~23:00,"시급9,160",1시간전
서울 전체, 파리바게뜨 장위참누리점,07:00~10:00,"시급8,720",1시간전
경기 양주시, 파리바게뜨 옥정역점,16:00~23:00,"시급9,000",1시간전
대전 대덕구, 파리바게뜨 대전송촌1호점,09:00~12:00,"시급8,720",1시간전
전북 전주시, 파리바게뜨 전주여의점,06:30~14:00,"시급9,160",2시간전
경기 광주시, 파리바게뜨 광주회덕점,07:00~13:00,"시급9,160",2시간전
서울 성동구, 파리바게뜨 성동구민회관점,17:00~21:00,"시급8,720",2시간전
세종 새롬동, 파리바게뜨 세종새롬점,시간협의,"시급9,200",2시간전
인천 중구, 파리바게뜨 인천역점,17:00~23:00,"시급9,160",2시간전
전북 전주시, 파리바게뜨 전주반월점,07:00~12:00,"시급9,160",2시간전
서울 강남구, 파리바게뜨 학동역고려은단,07:00~16:00,"연봉26,000,000",2시간전
서울 전체, 파리바게뜨 염창점,시간협의,"시급9,160",2시간전
서울 전체, 파리바게뜨 신당역아크로점,시간협의,"시급9,160",2시간전
부산 동구, 파리바게뜨 부산역사점,시간협의,"시급9,160",2시간전
부산 동구, 파리바게뜨 부산수정점,13:00~18:00,"시급9,160",2시간전
서울 전체, 파리바게뜨 대치역점,시간협의,"시급10,000",2시간전
인천 미추홀, 파리바게뜨 신기진흥점,12:00~17:00,"시급8,720",2시간전
경기 평택시, 파리바게뜨 평택원평점,시간협의,"시급9,160",2시간전
경기 안양시, 파리바게뜨 평촌어바인퍼스트,07:00~12:00,"시급9,160",2시간전
광주 광산구, 파리바게뜨 광주월곡2호점,07:00~11:00,"시급9,160",2시간전
서울 금천구, 파리바게뜨 금천법원단지점,07:00~13:30,"월급1,500,000",2시간전
경기 김포시, 파리바게뜨 김포걸포점,13:00~17:00,"시급9,160",2시간전
