place,title,time,pay,date
서울 영등포, 박승철헤어스투디오 당산역점,10:30~20:00,"월급1,822,480",50분전
경기 고양시, 박승철헤어스투디오 원흥역점,시간협의,"월급1,882,480",3시간전
경기 고양시, 박승철헤어스투디오 원흥역점,시간협의,"월급1,882,480",3시간전
경기 고양시, 박승철헤어스투디오 원흥역점,시간협의,"월급1,882,480",3시간전
울산 중구, 박승철헤어스투디오 울산성남점,10:30~20:30,"월급1,820,000",3시간전
서울 강동구, 박승철헤어스투디오 상일동역점,시간협의,"시급9,160",3시간전
서울 강동구, 박승철헤어스투디오 상일동역점,시간협의,"시급9,160",3시간전
서울 강동구, 박승철헤어스투디오 상일동역점,시간협의,"시급9,160",3시간전
울산 중구, 박승철헤어스투디오 울산성남점,10:30~20:30,"월급1,820,000",3시간전
서울 강동구, 박승철헤어스투디오 상일동역점,10:00~08:00,"시급9,160",3시간전
서울 영등포, 박승철헤어스투디오 당산역2호점,10:30~21:00,"월급1,822,480",5시간전
서울 강남구, 박승철헤어스투디오 개포동역점,10:00~20:00,"월급2,500,000",5시간전
울산 중구, 박승철헤어스투디오 울산성남점,10:30~20:30,"월급1,820,000",5시간전
서울 강동구, 박승철헤어스투디오 상일동역점,시간협의,"시급9,160",6시간전
인천 중구, 박승철헤어스투디오 동인천이마트점,10:00~20:00,"월급2,000,000",7시간전
경기 고양시, 박승철헤어스투디오 원흥역점,시간협의,"월급1,882,480",16시간전
울산 중구, 박승철헤어스투디오 울산성남점,10:30~20:30,"월급1,820,000",12/14
서울 동작구, 박승철헤어스투디오 이수역점,시간협의,"월급1,830,000",12/14
서울 광진구, 박승철헤어스투디오 광나루역점,10:00~20:00,"월급1,900,000",12/14
대구 동구, 박승철헤어스투디오 대구반야월이마트점,10:30~20:30,"월급2,000,000",12/14
대구 동구, 박승철헤어스투디오 대구반야월이마트점,10:30~20:30,"월급2,000,000",12/14
경기 수원시, 박승철헤어스투디오 광교롯데마트점,시간협의,"시급8,720",12/14
경기 수원시, 박승철헤어스투디오 광교롯데마트점,시간협의,"시급8,720",12/14
경기 수원시, 박승철헤어스투디오 광교롯데마트점,시간협의,"시급8,720",12/14
서울 영등포, 박승철헤어스투디오 당산역2호점,10:30~21:00,"월급1,822,480",12/14
서울 은평구, 박승철헤어스투디오 연신내점,시간협의,"월급1,822,480",12/14
서울 은평구, 박승철헤어스투디오 연신내점,시간협의,"월급1,822,480",12/14
서울 강남구, 박승철헤어스투디오 압구정점,시간협의,"월급1,822,480",12/14
서울 강남구, 박승철헤어스투디오 압구정점,시간협의,"월급1,822,480",12/14
서울 강남구, 박승철헤어스투디오 압구정점,시간협의,"월급1,822,480",12/14
서울 강남구, 박승철헤어스투디오 압구정점,시간협의,"월급1,822,480",12/14
경기 고양시, 박승철헤어스투디오 킨텍스이마트타운점,10:00~08:00,"월급4,500,000",12/14
서울 동작구, 박승철헤어스투디오 상도점,10:30~20:30,"월급1,950,000",12/14
경기 안양시, 박승철헤어스투디오 안양범계점,11:00~08:00,"월급1,830,000",12/14
서울 송파구, 박승철헤어스투디오 가든파이브점,시간협의,"시급10,000",12/14
경기 용인시, 박승철헤어스투디오 보정동카페거리점,10:00~19:30,"월급1,822,480",12/14
부산 금정구, 박승철헤어스투디오 부산대점,10:00~19:30,"월급1,840,000",12/14
경기 안산시, 박승철헤어스투디오 안산고잔점,10:00~19:00,"월급1,822,480",12/14
서울 영등포, 박승철헤어스투디오 타임스퀘어점,11:00~08:00,"건별100,000",12/14
경기 성남시, 박승철헤어스투디오 분당정자점,10:00~20:00,"월급2,000,000",12/14
서울 송파구, 박승철헤어스투디오 잠실파크리오점,시간협의,"월급1,822,480",12/13
서울 영등포, 박승철헤어스투디오 당산역점,10:30~20:00,"월급1,822,480",12/13
울산 남구, 박승철헤어스투디오 울산삼산점,10:30~20:30,"월급1,830,000",12/12
서울 영등포, 박승철헤어스투디오 당산역2호점,10:30~21:00,"월급1,822,480",12/12
서울 영등포, 박승철헤어스투디오 여의도이마트점,시간협의,"월급1,822,480",12/11
서울 은평구, 박승철헤어스투디오 연신내점,시간협의,"월급1,822,480",12/10
서울 은평구, 박승철헤어스투디오 연신내점,시간협의,"시급8,720",12/10
서울 은평구, 박승철헤어스투디오 연신내점,11:00~08:00,"시급8,720",12/10
서울 강남구, 박승철헤어스투디오 압구정점,시간협의,"월급1,822,480",12/10
서울 동대문, 박공헤어 외대하우스(오픈예정),시간협의,"월급1,830,000",12/10
