place,title,time,pay,date
부산 금정구, 하나로플랫폼 금정지사,11:00~02:00,"일급250,000",29분전
부산 연제구, 하나로플랫폼 연제지사,11:00~02:00,"일급250,000",29분전
부산 동래구, 하나로플랫폼 동래지사,11:00~02:00,"일급250,000",29분전
부산 금정구, 하나로플랫폼 금정지사,11:00~02:00,"일급250,000",1시간전
부산 연제구, 하나로플랫폼 연제지사,11:00~02:00,"일급250,000",1시간전
부산 동래구, 하나로플랫폼 동래지사,11:00~02:00,"일급250,000",1시간전
경북 구미시, 하나로플랫폼 배달대행 현곡지사,시간협의,"건별4,000",3시간전
경북 구미시, 하나로플랫폼 배달대행 현곡지사,시간협의,"건별4,000",3시간전
경북 구미시, 하나로플랫폼 배달대행 현곡지사,시간협의,"건별4,000",3시간전
대구 중구, 하나로플랫폼 만촌지사,시간협의,"일급300,000",4시간전
대구 남구, 하나로플랫폼 만촌지사,시간협의,"일급300,000",4시간전
대구 중구, 하나로플랫폼 만촌지사,시간협의,"일급300,000",4시간전
대구 동구, 하나로플랫폼 만촌지사,시간협의,"일급300,000",4시간전
대구 동구, 하나로플랫폼 만촌지사,시간협의,"일급300,000",4시간전
대구 동구, 하나로플랫폼 만촌지사,시간협의,"일급300,000",4시간전
대구 수성구, 하나로플랫폼 만촌지사,시간협의,"일급300,000",4시간전
대구 수성구, 하나로플랫폼 만촌지사,시간협의,"일급300,000",4시간전
대구 수성구, 하나로플랫폼 만촌지사,시간협의,"일급300,000",4시간전
대구 수성구, 하나로플랫폼 배달대행 황금지사,10:30~03:00,"일급200,000",5시간전
대구 수성구, 하나로플랫폼 배달대행 황금지사,10:30~03:00,"일급200,000",5시간전
대구 서구, 하나로플랫폼 배달대행 황금지사,10:30~03:00,"일급200,000",5시간전
대구 수성구, 하나로플랫폼 배달대행 황금지사,10:00~03:00,"일급200,000",5시간전
대구 수성구, 하나로플랫폼 배달대행 황금지사,10:00~03:00,"일급200,000",5시간전
대구 수성구, 하나로플랫폼 배달대행 황금지사,10:00~03:00,"일급200,000",5시간전
부산 금정구, 하나로플랫폼 금정지사,11:00~02:00,"일급250,000",7시간전
부산 연제구, 하나로플랫폼 연제지사,11:00~02:00,"일급250,000",7시간전
부산 동래구, 하나로플랫폼 동래지사,11:00~02:00,"일급250,000",7시간전
대구 달서구, 하나로플랫폼 배달대행 황금지사,10:00~03:00,"일급200,000",23시간전
대구 달서구, 하나로플랫폼 배달대행 황금지사,10:00~03:00,"일급200,000",23시간전
대구 달서구, 하나로플랫폼 배달대행 황금지사,10:00~03:00,"일급200,000",23시간전
전남 목포시, 하나로플랫폼 본사,시간협의,"일급300,000",12/13
대구 남구, 하나로플랫폼 범어지사,10:00~02:00,"일급300,000",12/11
대구 동구, 하나로플랫폼 범어지사,10:00~02:00,"일급300,000",12/11
대구 수성구, 하나로플랫폼 범어지사,10:00~02:00,"일급300,000",12/11
대구 중구, 하나로플랫폼 범어지사,11:00~02:00,"일급300,000",12/11
대구 달서구, 하나로플랫폼 범어지사,11:00~02:00,"월급6,000,000",12/11
대구 수성구, 하나로플랫폼 범어지사,시간협의,"일급300,000",12/11
경북 경산시, 하나로플랫폼 옥산지사,시간협의,"일급200,000",12/09
경북 경산시, 하나로플랫폼 옥산지사,시간협의,"일급200,000",12/09
경북 경산시, 하나로플랫폼 옥산지사,시간협의,"일급200,000",12/09
경북 경산시, 하나로플랫폼 옥산지사,시간협의,"일급200,000",12/09
경북 경산시, 하나로플랫폼 옥산지사,시간협의,"일급200,000",12/09
경북 경산시, 하나로플랫폼 옥산지사,시간협의,"일급200,000",12/09
경북 경산시, 하나로플랫폼 옥산지사,시간협의,"일급200,000",12/09
경북 경산시, 하나로플랫폼 옥산지사,시간협의,"일급200,000",12/09
경북 경산시, 하나로플랫폼 옥산지사,시간협의,"일급200,000",12/09
대구 수성구, 하나로플랫폼 수성지사,시간협의,"일급200,000",12/07
대구 수성구, 하나로플랫폼 수성지사,시간협의,"일급200,000",12/07
대구 수성구, 하나로플랫폼 수성지사,시간협의,"일급200,000",12/07
대구 수성구, 하나로플랫폼 수성지사,시간협의,"일급200,000",12/07
