place,title,time,pay,date
충남 천안시, 한경기획 은화수식당 천안신불당점,11:30~14:30,"시급10,700",22분전
인천 남동구, 한경기획 청년다방 인천서창점,12:00~16:00,"시급8,720",32분전
대구 북구, 한경기획 청년다방 칠곡3지구점,17:00~22:30,"시급8,720",2시간전
경북 경주시, 한경기획 은화수식당 경주황성점,10:30~15:30,"시급9,160",3시간전
경기 수원시, 한경기획 청년다방 수원호매실점,12:00~19:00,"시급9,160",4시간전
부산 해운대, 한경기획 해운대점,11:00~19:30,"월급1,700,000",6시간전
부산 해운대, 한경기획 청년다방 장산점,11:00~19:30,"월급1,700,000",6시간전
충북 청주시, 한경기획 청년다방 청주지웰시티점,10:30~16:30,"시급10,000",7시간전
충남 아산시, 한경기획 은화수식당 아산점,10:30~21:00,"시급10,464",8시간전
경기 평택시, 한경기획 평택고덕신도시점,시간협의,"시급10,000",19시간전
부산 해운대, 한경기획 청년다방 장산점,17:00~23:00,"월급1,350,000",23시간전
부산 해운대, 한경기획 청년다방 장산점,17:00~23:00,"시급9,500",12/14
부산 해운대, 한경기획 해운대점,11:00~24:00,"시급9,200",12/14
부산 해운대, 한경기획 해운대점,11:00~17:00,"시급9,200",12/14
서울 노원구, 한경기획 청년다방 노원역점,12:00~23:00,"월급2,200,000",12/14
충남 천안시, 한경기획 은화수식당 천안신불당점,11:30~14:30,"시급10,700",12/12
서울 양천구, 한경기획 청년다방 행복한백화점,11:30~21:30,"월급2,515,720",12/11
경기 수원시, 한경기획 청년다방 수원장안구청점,18:00~22:00,"시급8,720",12/10
경기 수원시, 한경기획 청년다방 수원장안구청점,18:00~22:00,"시급8,720",12/10
경기 수원시, 한경기획 청년다방 수원장안구청점,18:00~22:00,"시급8,720",12/10
경기 수원시, 한경기획 청년다방 수원장안구청점,18:00~22:00,"시급8,720",12/10
인천 남동구, 한경기획 청년다방 인천서창점,12:00~16:00,"시급8,720",12/10
서울 도봉구, 한경기획 청년다방 창동역점,11:00~22:00,"월급2,150,000",12/09
대구 북구, 한경기획 청년다방 칠곡3지구점,17:00~22:30,"시급8,720",12/09
경기 화성시, 한경기획 청년다방 화성병점점,15:30~21:30,"시급9,000",12/09
인천 중구, 한경기획 청년다방 영종하늘도시점,11:00~17:00,"시급8,800",12/08
인천 중구, 한경기획 청년다방 영종하늘도시점,11:00~17:00,"시급8,800",12/08
인천 중구, 한경기획 청년다방 영종하늘도시점,11:00~17:00,"시급8,800",12/08
인천 중구, 한경기획 청년다방 영종하늘도시점,11:00~17:00,"시급8,800",12/08
충남 천안시, 한경기획 은화수식당 천안신불당점,11:30~14:30,"시급10,700",12/07
서울 도봉구, 한경기획 청년다방 창동역점,11:00~17:00,"시급8,720",12/05
경남 양산시, 한경기획 청년다방 양산물금점,10:00~21:30,"월급2,110,000",12/05
부산 부산진, 한경기획 은화수식당 범일동점,10:30~15:00,"시급8,720",12/05
부산 부산진, 한경기획 은화수식당 범일동점,10:30~15:00,"시급8,720",12/05
부산 부산진, 한경기획 은화수식당 범일동점,10:30~15:00,"시급8,720",12/04
부산 부산진, 한경기획 은화수식당 범일동점,10:30~15:00,"시급8,720",12/03
경기 평택시, 한경기획 평택고덕신도시점,시간협의,"시급10,000",12/02
충북 청주시, 한경기획 청년다방 청주지웰시티점,10:30~16:30,"시급10,000",11/30
