place,title,time,pay,date
부산 금정구, 할리스커피 부산금강식물원점,18:00~23:00,"시급9,160",21분전
부산 금정구, 할리스커피 부산금강식물원점,09:00~23:00,"월급2,050,000",24분전
서울 강서구, 할리스커피 마곡나인스퀘어점,08:00~17:00,"월급2,100,000",25분전
서울 관악구, 할리스커피 난곡사거리점,13:00~18:00,"시급8,720",35분전
경기 남양주, 할리스커피 별내북부역점,19:00~10:00,"시급10,000",35분전
서울 노원구, 할리스커피 당고개역점,12:30~15:30,"시급9,160",35분전
서울 관악구, 할리스커피 서울대예술문화점,12:00~15:00,"시급8,720",43분전
서울 마포구, 할리스커피 홍대입구역점,17:00~23:00,"시급9,160",47분전
서울 마포구, 할리스커피 홍대입구역점,17:00~23:00,"시급9,160",48분전
광주 서구, 할리스커피 광주아울렛점,18:00~22:00,"시급9,160",51분전
서울 강남구, 할리스커피 세로수길점,18:30~22:00,"시급8,720",54분전
서울 강북구, 할리스커피 수유사거리점,23:00~01:00,"시급10,500",1시간전
서울 전체, 할리스커피 광나루역점,12:00~15:00,"시급8,720",1시간전
서울 전체, 할리스커피 광나루역점,16:00~22:00,"시급8,720",1시간전
서울 노원구, 할리스커피 당고개역점,12:30~15:30,"시급9,160",1시간전
세종 가람동, 할리스커피 세종가람DT점,시간협의,"시급8,720",1시간전
서울 노원구, 할리스커피 당고개역점,12:30~15:30,"시급9,160",1시간전
경기 남양주, 할리스커피 별내북부역점,19:00~10:00,"시급10,000",1시간전
서울 광진구, 할리스커피 광장점,13:00~16:30,"시급8,720",1시간전
대전 유성구, 할리스커피 대전도안DT점,09:00~18:00,"시급8,720",2시간전
인천 미추홀, 할리스커피 인천주안역점,12:00~16:00,"시급9,160",2시간전
인천 미추홀, 할리스커피 인천주안역점,18:30~23:30,"시급9,160",2시간전
인천 미추홀, 할리스커피 인천주안역점,17:00~23:30,"시급9,160",2시간전
인천 미추홀, 할리스커피 인천주안역점,17:00~23:30,"시급9,160",2시간전
경기 하남시, 할리스커피 미사효성해링턴점,시간협의,"시급9,500",2시간전
경기 화성시, 할리스커피 봉담원희캐슬점,12:00~21:00,"시급10,992",2시간전
서울 영등포, 할리스커피 여의도파이낸스점,10:00~14:00,"시급9,160",2시간전
광주 북구, 할리스커피 광주북구청점,17:00~23:00,"시급9,160",2시간전
광주 북구, 할리스커피 광주북구청점,08:00~14:00,"시급9,160",2시간전
서울 용산구, 할리스커피 용산아이파크몰 영풍문고점,13:00~22:00,"시급9,160",2시간전
서울 구로구, 할리스커피 구로디지털점,07:00~16:00,"월급1,914,440",2시간전
충북 청주시, 할리스커피 청주명암레이크점,시간협의,"월급2,000,000",2시간전
서울 용산구, 할리스커피 용산아이파크몰 영풍문고점,13:00~22:00,"시급8,720",2시간전
대구 수성구, 할리스커피 대구수성네거리점,시간협의,"월급2,000,000",3시간전
부산 동래구, 할리스커피 부산명륜자이점,20:00~23:00,"시급9,160",3시간전
서울 광진구, 할리스커피 광장점,13:00~16:00,"시급8,720",3시간전
강원 원주시, 할리스커피 원주단계택지점,19:00~02:00,"월급608,000",3시간전
서울 영등포, 할리스커피 여의도하나투자점,15:00~21:00,"시급8,720",3시간전
서울 관악구, 할리스커피 신림고시촌점,19:00~23:00,"시급8,720",3시간전
충북 청주시, 할리스커피 청주명암레이크점,시간협의,"월급2,000,000",3시간전
인천 남동구, 할리스커피 간석역남부점,16:00~22:00,"시급8,720",5시간전
경기 화성시, 할리스커피 화성융건릉점,19:30~22:00,"시급9,000",5시간전
경기 화성시, 할리스커피 화성융건릉점,09:30~14:00,"시급8,720",5시간전
경기 화성시, 할리스커피 화성융건릉점,12:00~16:00,"시급8,720",5시간전
서울 마포구, 할리스커피 홍대역점,시간협의,"월급1,800,000",5시간전
서울 마포구, 할리스커피 홍대역점,시간협의,"월급1,850,000",5시간전
서울 종로구, 할리스커피 센터포인트점,시간협의,"시급9,160",5시간전
경북 칠곡군, 할리스커피 칠곡왜관점,12:00~18:00,"시급9,160",5시간전
부산 전체, 할리스커피 부산괴정휴마트점,11:00~15:00,"시급9,160",5시간전
인천 남동구, 할리스커피 간석역남부점,16:00~22:00,"시급8,720",21시간전
