place,title,time,pay,date
경남 김해시, 호식이두마리치킨 어방점,11:30~23:30,"월급2,000,000",11분전
경기 안양시, 호식이두마리치킨 관양점,05:30~09:30,"시급9,500",39분전
서울 관악구, 호식이두마리치킨 대학점,17:00~03:00,"월급2,500,000",2시간전
서울 강남구, 호식이두마리치킨 논현1호점,16:00~22:00,"시급10,000",2시간전
서울 강동구, 호식이두마리치킨 강일점,17:00~24:00,"시급9,500",3시간전
경기 수원시, 호식이두마리치킨 천천점,17:00~24:00,"시급9,160",3시간전
경기 수원시, 호식이두마리치킨 천천점,17:00~24:00,"시급9,160",3시간전
부산 사하구, 호식이두마리치킨 괴정점,17:00~22:00,"시급9,160",4시간전
대구 수성구, 호식이두마리치킨 대구중동점,18:00~22:00,"시급9,000",5시간전
경남 김해시, 호식이두마리치킨 어방점,16:00~23:00,"월급2,000,000",5시간전
경남 김해시, 호식이두마리치킨 어방점,시간협의,"시급9,200",6시간전
서울 동작구, 호식이두마리치킨 신림점,13:00~23:00,"월급2,600,000",6시간전
서울 관악구, 호식이두마리치킨 신림점,18:00~23:00,"시급9,500",6시간전
서울 관악구, 호식이두마리치킨 신림점,18:00~23:00,"시급9,500",6시간전
서울 관악구, 호식이두마리치킨 신림점,13:00~18:00,"시급9,500",6시간전
서울 관악구, 호식이두마리치킨 신림점,13:00~18:00,"시급9,500",6시간전
경기 수원시, 호식이두마리치킨 천천점,17:00~24:00,"시급9,000",13시간전
부산 연제구, 호식이두마리치킨 연산1호점,18:00~22:00,"시급9,160",13시간전
경기 의정부, 호식이두마리치킨 의정부역점,시간협의,"시급9,000",12/14
인천 서구, 호식이두마리치킨 인천연희점,17:00~24:00,"시급9,000",12/14
인천 서구, 호식이두마리치킨 인천연희점,17:00~24:00,"시급8,720",12/14
경기 파주시, 호식이두마리치킨 문산점,14:00~23:00,"월급2,500,000",12/13
경기 파주시, 호식이두마리치킨 문산점,18:00~21:30,"시급9,000",12/13
서울 구로구, 호식이두마리치킨 대림점,18:00~03:00,"시급10,500",12/13
서울 동작구, 호식이두마리치킨 대림점,18:00~03:00,"시급10,500",12/13
서울 영등포, 호식이두마리치킨 대림점,18:00~03:00,"시급10,500",12/13
서울 영등포, 호식이두마리치킨 대림점,18:00~03:00,"시급10,500",12/13
서울 영등포, 호식이두마리치킨 대림점,18:00~03:00,"시급10,500",12/13
서울 강동구, 호식이두마리치킨 강일점,17:00~21:00,"시급9,500",12/13
경기 용인시, 호식이두마리치킨 동백점,17:00~22:00,"시급11,000",12/12
경기 안산시, 호식이두마리치킨 고잔1호점,18:00~23:00,"시급9,000",12/11
세종 종촌동, 호식이두마리치킨 종촌점,시간협의,"시급8,720",12/11
인천 미추홀, 호식이두마리치킨 용현1호점,17:30~22:30,"시급8,720",12/11
인천 미추홀, 호식이두마리치킨 용현1호점,17:30~22:30,"시급8,720",12/11
인천 미추홀, 호식이두마리치킨 용현1호점,17:30~22:30,"시급8,720",12/11
인천 미추홀, 호식이두마리치킨 용현1호점,17:30~22:30,"시급8,720",12/11
인천 미추홀, 호식이두마리치킨 용현1호점,17:30~22:30,"시급8,720",12/11
대구 달서구, 호식이두마리치킨 성서1호점,17:00~23:00,"시급10,000",12/11
대구 달서구, 호식이두마리치킨 성서1호점,시간협의,"시급10,000",12/11
서울 강동구, 호식이두마리치킨 강일점,17:00~21:00,"시급9,500",12/09
전북 전주시, 호식이두마리치킨 송천2호점,17:30~22:00,"시급8,720",12/09
부산 연제구, 호식이두마리치킨 연산1호점,18:00~22:00,"시급8,720",12/09
부산 연제구, 호식이두마리치킨 연산1호점,18:00~22:00,"시급8,720",12/09
경기 여주시, 호식이두마리치킨 여주대점,17:00~22:00,"시급10,000",12/09
서울 금천구, 호식이두마리치킨 독산1호점,18:00~10:30,"시급8,720",12/08
제주 제주시, 호식이두마리치킨 삼화점,17:00~23:00,"시급9,500",12/08
제주 제주시, 호식이두마리치킨 삼화점,17:00~23:00,"시급9,500",12/08
제주 제주시, 호식이두마리치킨 삼화점,17:00~23:00,"시급9,500",12/08
제주 제주시, 호식이두마리치킨 삼화점,17:00~23:00,"시급9,500",12/08
전북 전주시, 호식이두마리치킨 송천2호점,18:00~22:00,"시급8,720",12/07
