place,title,time,pay,date
경기 수원시, 호치킨 수원매탄위브점,21:00~24:00,"시급9,200",25분전
경기 수원시, 호치킨 수원매탄위브점,19:00~24:00,"시급9,200",33분전
경기 화성시, 호치킨 화성동탄에듀몰점,17:30~21:00,"시급9,500",34분전
경기 화성시, 호치킨 화성동탄에듀몰점,17:30~21:00,"시급9,500",34분전
경기 화성시, 호치킨 화성동탄에듀몰점,17:30~21:00,"시급9,500",37분전
경기 화성시, 호치킨 화성동탄에듀몰점,17:30~21:00,"시급9,500",38분전
경기 화성시, 호치킨 화성동탄에듀몰점,17:30~21:00,"시급9,500",41분전
경기 시흥시, 호치킨 시흥목감역점,06:00~11:00,"시급9,200",47분전
경기 시흥시, 호치킨 시흥목감역점,15:00~02:00,"월급2,600,000",2시간전
경기 용인시, 호치킨 보정점,18:00~24:00,"시급11,000",2시간전
서울 중랑구, 호치킨 상봉역점,18:00~24:00,"시급9,200",2시간전
경기 광주시, 호치킨 광주장지e편한세상점,18:00~00:00,"시급10,000",2시간전
경기 광주시, 호치킨 광주장지e편한세상점,18:00~00:00,"시급10,000",2시간전
경기 광주시, 호치킨 광주장지e편한세상점,18:00~00:00,"시급10,000",2시간전
경기 광주시, 호치킨 광주장지e편한세상점,18:00~00:00,"시급10,000",2시간전
경기 광주시, 호치킨 광주장지e편한세상점,18:00~00:00,"시급10,000",2시간전
경기 용인시, 호치킨 보정점,18:00~24:00,"시급11,000",2시간전
경기 용인시, 호치킨 보정점,18:00~24:00,"시급11,000",4시간전
서울 은평구, 호치킨 응암이마트점,19:30~00:30,"시급9,500",5시간전
경기 여주시, 호치킨 여주대점,21:00~01:00,"시급10,000",5시간전
경기 수원시, 호치킨 수원매탄위브점,19:00~24:00,"시급9,200",7시간전
경기 수원시, 호치킨 수원매탄위브점,21:00~24:00,"시급9,200",7시간전
인천 남동구, 호치킨 인천만수동점(양1),18:00~01:00,"시급9,160",12/14
서울 은평구, 호치킨 응암이마트점,19:30~00:30,"시급9,500",12/13
경기 여주시, 호치킨 여주대점,21:00~01:00,"시급10,000",12/12
경기 용인시, 호치킨 보정점,18:00~24:00,"시급11,000",12/11
서울 은평구, 호치킨 응암이마트점,19:30~00:30,"시급9,500",12/10
서울 영등포, 호치킨 호치킨양평역점(현-1),18:00~22:00,"시급9,200",12/10
인천 미추홀, 호치킨 주안역점,18:00~24:00,"시급9,500",12/10
서울 송파구, 호치킨 풍납2동점,17:30~00:30,"시급9,300",12/09
서울 송파구, 호치킨 풍납2동점,17:30~00:30,"시급9,300",12/09
경기 용인시, 호치킨 보정점,18:00~24:00,"시급11,000",12/09
인천 남동구, 호치킨 관교점,18:00~00:30,"시급9,500",12/09
인천 남동구, 호치킨 관교점,18:00~00:30,"시급9,500",12/09
인천 남동구, 호치킨 관교점,18:00~00:30,"시급9,500",12/09
인천 남동구, 호치킨 관교점,18:00~00:30,"시급9,500",12/09
인천 남동구, 호치킨 관교점,18:00~00:30,"시급9,500",12/09
인천 중구, 호치킨 영종하늘도시점,시간협의,"월급1,700,000",12/09
인천 미추홀, 호치킨 주안역점,18:00~24:00,"시급9,500",12/08
경기 용인시, 호치킨 용인동천점,시간협의,"시급9,000",12/08
경기 용인시, 호치킨 용인동천점,시간협의,"시급9,000",12/08
경기 용인시, 호치킨 용인동천점,시간협의,"시급9,000",12/08
경기 용인시, 호치킨 용인동천점,시간협의,"시급9,000",12/08
경기 용인시, 호치킨 용인동천점,시간협의,"시급9,000",12/08
경기 용인시, 호치킨 호치킨 용인죽전점,18:00~24:00,"시급9,000",12/08
경기 용인시, 호치킨 호치킨 용인죽전점,18:00~24:00,"시급9,000",12/08
경기 용인시, 호치킨 호치킨 용인죽전점,18:00~24:00,"시급9,000",12/08
경기 용인시, 호치킨 호치킨 용인죽전점,18:00~24:00,"시급9,000",12/08
경기 용인시, 호치킨 호치킨 용인죽전점,18:00~24:00,"시급9,000",12/08
경기 여주시, 호치킨 여주대점,21:00~01:00,"시급10,000",12/07
