place,title,time,pay,date
경기 고양시, 화로상회 고양동점,17:00~24:00,"시급9,500",4시간전
경기 고양시, 화로상회 원당주교점,18:00~24:00,"월급1,400,000",6시간전
경기 남양주, 화로상회 별내1호점,11:30~23:30,"월급3,200,000",21시간전
경기 남양주, 화로상회 진접장현점,18:00~23:00,"시급10,000",12/14
경기 남양주, 화로상회 별내1호점,11:30~23:30,"월급2,700,000",12/14
경기 남양주, 화로상회 별내1호점,11:30~23:30,"월급2,900,000",12/14
경기 남양주, 화로상회 별내1호점,18:00~23:00,"시급11,000",12/14
경기 남양주, 화로상회 별내1호점,18:00~23:00,"시급11,000",12/14
서울 강북구, 화로상회 미아1호점,시간협의,"시급9,000",12/14
경기 구리시, 화로상회 구리인창점,시간협의,"시급9,000",12/13
충남 태안군, 화로상회 태안점,시간협의,"월급2,700,000",12/10
서울 양천구, 화로상회 목동1호점,18:00~24:00,"시급9,000",12/04
서울 양천구, 화로상회 목동1호점,18:00~24:00,"시급9,000",12/04
서울 양천구, 화로상회 목동1호점,18:00~24:00,"시급9,000",12/04
서울 강북구, 화로상회 미아1호점,시간협의,"시급9,000",12/04
서울 강북구, 화로상회 미아1호점,시간협의,"시급9,000",12/04
서울 강북구, 화로상회 미아1호점,시간협의,"시급9,000",12/04
서울 강북구, 화로상회 미아1호점,시간협의,"시급9,000",12/03
서울 양천구, 화로상회 목동1호점,18:00~24:00,"시급9,000",11/30
